item_id,date,p10,p50,p90
age18-49,2021-11-01T00:00:00Z,28598.37391855109,47618.2469798181,66638.1200410851
age18-49,2021-11-02T00:00:00Z,37194.39156340876,60413.69497996094,83632.99839651313
age18-49,2021-11-03T00:00:00Z,34854.62840302349,58750.38794217759,82646.14748133169
age18-49,2021-11-04T00:00:00Z,32917.96679577001,56865.81123479916,80813.65567382833
age18-49,2021-11-05T00:00:00Z,36232.76639766829,60432.67627828309,84632.5861588979
age18-49,2021-11-06T00:00:00Z,12513.672051410143,38431.946200158956,64350.220348907766
age18-49,2021-11-07T00:00:00Z,-11612.742359675973,18061.227023433057,47735.19640654209
age18-49,2021-11-08T00:00:00Z,12354.98695912151,45825.02905841264,79295.07115770377
age18-49,2021-11-09T00:00:00Z,23164.718586076167,58784.25868762984,94403.79878918351
age18-49,2021-11-10T00:00:00Z,22015.234446062917,58395.26806842088,94775.30169077884
age18-49,2021-11-11T00:00:00Z,21195.7501732101,57869.82595602477,94543.90173883943
age18-49,2021-11-12T00:00:00Z,24833.87467147559,61926.22676326279,99018.57885505
age18-49,2021-11-13T00:00:00Z,1134.760140557075,39315.92126220044,77497.08238384381
age18-49,2021-11-14T00:00:00Z,-22336.890078831704,17799.250367813445,57935.390814458595
age18-49,2021-11-15T00:00:00Z,2482.8977077839736,44744.44188827113,87005.9860687583
age18-49,2021-11-16T00:00:00Z,13980.595839380432,57739.21828128459,101497.84072318875
age18-49,2021-11-17T00:00:00Z,13554.02637688689,58106.837516760126,102659.64865663336
age18-49,2021-11-18T00:00:00Z,13415.445177992318,58442.23076016624,103469.01634234015
age18-49,2021-11-19T00:00:00Z,17297.19582162612,62852.78288180338,108408.36994198064
age18-49,2021-11-20T00:00:00Z,-6531.838536445663,39908.36717202576,86348.57288049719
age18-49,2021-11-21T00:00:00Z,-30069.730083184368,17688.65595185344,65447.04198689125
age18-49,2021-11-22T00:00:00Z,-5100.3580410734285,44096.82662966091,93294.01130039524
age18-49,2021-11-23T00:00:00Z,6715.376873980131,57072.38490448416,107429.3929349882
