item_id,date,p10,p50,p90
age18-49,2021-11-01T00:00:00Z,48444.16015625,52965.35546875,57987.171875
age18-49,2021-11-02T00:00:00Z,47518.75,51303.23828125,55302.59375
age18-49,2021-11-03T00:00:00Z,47466.24609375,51547.546875,54865.25390625
age18-49,2021-11-04T00:00:00Z,50728.9921875,54969.39453125,60704.3515625
age18-49,2021-11-05T00:00:00Z,62748.59375,67572.65625,71368.0859375
age18-49,2021-11-06T00:00:00Z,33009.8359375,36936.1875,41110.3125
age18-49,2021-11-07T00:00:00Z,22837.41015625,25954.26953125,30263.83203125
age18-49,2021-11-08T00:00:00Z,53381.41015625,58666.68359375,64757.11328125
age18-49,2021-11-09T00:00:00Z,51007.25,55907.87890625,62148.2265625
age18-49,2021-11-10T00:00:00Z,51572.08984375,56638.53515625,64590.0625
age18-49,2021-11-11T00:00:00Z,53397.65234375,57887.8359375,66895.6796875
age18-49,2021-11-12T00:00:00Z,64665.390625,70308.4765625,76975.265625
age18-49,2021-11-13T00:00:00Z,35698.03515625,40487.359375,46834.203125
age18-49,2021-11-14T00:00:00Z,24255.830078125,29464.37109375,35371.8203125
age18-49,2021-11-15T00:00:00Z,58198.828125,63835.3671875,71283.109375
age18-49,2021-11-16T00:00:00Z,54433.3671875,60029.88671875,72328.6171875
age18-49,2021-11-17T00:00:00Z,54695.44921875,60972.84765625,69818.765625
age18-49,2021-11-18T00:00:00Z,55073.6953125,62903.9921875,72443.40625
age18-49,2021-11-19T00:00:00Z,68135.9453125,74677.1953125,82316.765625
age18-49,2021-11-20T00:00:00Z,37231.1796875,43494.2109375,51365.48046875
age18-49,2021-11-21T00:00:00Z,27324.1953125,32317.408203125,38997.8515625
age18-49,2021-11-22T00:00:00Z,61702.55859375,67042.6484375,78783.96875
age18-49,2021-11-23T00:00:00Z,56906.80859375,64286.19140625,77560.0390625
age18-49,2021-11-24T00:00:00Z,54971.2109375,64003.01953125,75477.171875
age18-49,2021-11-25T00:00:00Z,58721.828125,65799.40625,77695.890625
age18-49,2021-11-26T00:00:00Z,68297.65625,76054.8359375,88600.5703125
age18-49,2021-11-27T00:00:00Z,37697.2265625,45494.27734375,55693.34375
age18-49,2021-11-28T00:00:00Z,29867.89453125,35569.67578125,44297.47265625
age18-49,2021-11-29T00:00:00Z,62150.25390625,70100.59375,82713.0078125
age18-49,2021-11-30T00:00:00Z,58829.25390625,67804.390625,81196.4375
age18-49,2021-12-01T00:00:00Z,58307.5234375,66624.59375,82734.296875
age18-49,2021-12-02T00:00:00Z,60849.99609375,71413.859375,85358.1796875
age18-49,2021-12-03T00:00:00Z,72909.390625,81453.828125,95984.21875
age18-49,2021-12-04T00:00:00Z,43286.08984375,51150.046875,63912.35546875
age18-49,2021-12-05T00:00:00Z,35522.52734375,42277.8046875,52930.78125
