item_id,date,p10,p50,p90
age18-49,2021-11-01T00:00:00Z,-10612.85553721938,31532.77514275119,62685.76584724292
age18-49,2021-11-02T00:00:00Z,12264.511386327908,41983.43468121029,74802.96142596268
age18-49,2021-11-03T00:00:00Z,13264.852158466623,45891.42462433087,68665.5923516746
age18-49,2021-11-04T00:00:00Z,13724.850381107659,46167.09300505941,77110.97363002824
age18-49,2021-11-05T00:00:00Z,28730.295982101645,53666.29018241435,85474.75176917075
age18-49,2021-11-06T00:00:00Z,-2760.1189427159443,25897.92077476891,52740.51717294405
age18-49,2021-11-07T00:00:00Z,-25475.199189415074,-893.3591620945299,32549.43070032468
age18-49,2021-11-08T00:00:00Z,77.747384264836,30455.551794815132,62570.46766700994
age18-49,2021-11-09T00:00:00Z,18643.107947892757,45902.309552788785,74670.57795543974
age18-49,2021-11-10T00:00:00Z,8592.776478372718,41822.40928389369,80394.07451122768
age18-49,2021-11-11T00:00:00Z,12938.652635466962,49875.63658168255,83643.88075567552
age18-49,2021-11-12T00:00:00Z,22581.956058872824,58810.19401558429,85254.39008703854
age18-49,2021-11-13T00:00:00Z,-7110.099449469435,33573.79126228347,58154.924504554256
age18-49,2021-11-14T00:00:00Z,-20881.93130621712,8775.047977181639,36197.12110913713
age18-49,2021-11-15T00:00:00Z,-7240.866577049597,26316.233501063612,69061.87528980145
age18-49,2021-11-16T00:00:00Z,11225.194821158279,43761.08443162283,74029.7132669989
age18-49,2021-11-17T00:00:00Z,18815.369612123537,50923.67062187368,76189.39772211826
age18-49,2021-11-18T00:00:00Z,12009.80842338704,42901.500939695106,78122.9078369918
age18-49,2021-11-19T00:00:00Z,14819.064669495652,52500.09681774761,79306.60840236054
age18-49,2021-11-20T00:00:00Z,-2690.357144117588,24984.327830496324,56245.4171145028
age18-49,2021-11-21T00:00:00Z,-30301.66802559745,2483.3516957250786,36484.95201832276
age18-49,2021-11-22T00:00:00Z,748.8616455581796,34900.189971014646,61357.58083715777
age18-49,2021-11-23T00:00:00Z,2222.0482628889076,40177.9122691577,73107.56088357061
age18-49,2021-11-24T00:00:00Z,16633.860394245105,50923.98725219179,83570.83552636883
age18-49,2021-11-25T00:00:00Z,17049.798738205096,49568.258287466386,83386.32669878197
age18-49,2021-11-26T00:00:00Z,9216.904603688949,48885.842113024,83034.20958132837
age18-49,2021-11-27T00:00:00Z,-3971.1319673695434,31823.191497219676,63376.398924701025
age18-49,2021-11-28T00:00:00Z,-30168.43481707176,2351.980627495046,35473.481125782375
age18-49,2021-11-29T00:00:00Z,-8218.089362719707,31912.987713023693,60476.35418649952
age18-49,2021-11-30T00:00:00Z,12908.499902914355,46228.73195480096,80668.92992795553
age18-49,2021-12-01T00:00:00Z,4855.866812665321,38290.07974402455,74985.26861726544
age18-49,2021-12-02T00:00:00Z,17894.080829642102,45630.11305746774,77460.99678570668
age18-49,2021-12-03T00:00:00Z,16128.095376854708,51198.12642043271,85751.91854413543
age18-49,2021-12-04T00:00:00Z,-5329.633243195523,28141.87069760009,60526.89465122191
age18-49,2021-12-05T00:00:00Z,-29530.875508891986,318.02452828651803,36942.20766127411
age18-49,2021-12-06T00:00:00Z,-134.9378153593425,32767.143507263278,71448.36743469405
age18-49,2021-12-07T00:00:00Z,16295.724994808541,45561.60616373311,82967.52532613873
age18-49,2021-12-08T00:00:00Z,10789.510773251208,45234.032830723445,76113.18936474774
age18-49,2021-12-09T00:00:00Z,2169.263328204077,52531.27482036566,83136.08600650735
age18-49,2021-12-10T00:00:00Z,2416.1906434834855,45705.25609667317,82002.39196749493
age18-49,2021-12-11T00:00:00Z,-7182.489379134593,31943.744331478265,59873.872614402106
age18-49,2021-12-12T00:00:00Z,-36345.73127980799,234.41190406038004,45164.74975813371
age18-49,2021-12-13T00:00:00Z,-13155.627640172674,29594.531109499825,70084.07413883107
age18-49,2021-12-14T00:00:00Z,-173.33380395856875,42676.40773369509,82128.21350819521
age18-49,2021-12-15T00:00:00Z,8738.36860498022,41568.367493051395,75186.19983614999
age18-49,2021-12-16T00:00:00Z,6080.256553042556,48008.48581676988,86056.89758709565
age18-49,2021-12-17T00:00:00Z,13492.96873077385,52464.09383625953,94006.38907383935
age18-49,2021-12-18T00:00:00Z,-6028.971829807774,33518.86392847312,65341.9170655336
age18-49,2021-12-19T00:00:00Z,-31652.47442127139,1902.9468545712293,40455.377734029884
age18-49,2021-12-20T00:00:00Z,-21769.281368383345,23339.523607504132,70971.06503454923
age18-49,2021-12-21T00:00:00Z,-6936.987724580664,38671.19635702801,77374.99230721607
age18-49,2021-12-22T00:00:00Z,-3848.3505761161723,44253.669445323176,81489.84609668577
age18-49,2021-12-23T00:00:00Z,15160.1965078312,42428.324232211075,88302.90734674128
age18-49,2021-12-24T00:00:00Z,5550.236570948524,52629.56706681936,94803.54268315384
age18-49,2021-12-25T00:00:00Z,-16442.22161947249,23687.25175563716,68350.51482064732
age18-49,2021-12-26T00:00:00Z,-35854.26934303536,3479.060043190204,40345.271372522046
age18-49,2021-12-27T00:00:00Z,-11055.355120528733,23197.63645278998,63767.788084135915
age18-49,2021-12-28T00:00:00Z,-2787.3687067200153,42076.648625679314,83146.44746897159
age18-49,2021-12-29T00:00:00Z,-2528.2485841169546,36659.03019261759,87607.4396901128
age18-49,2021-12-30T00:00:00Z,-3717.9892804250776,48139.92188210192,87907.16319385714
age18-49,2021-12-31T00:00:00Z,5471.041832574287,51844.51025821798,89021.64186548306
age18-49,2022-01-01T00:00:00Z,-19299.423001368352,22704.11393650026,66057.35507390143
age18-49,2022-01-02T00:00:00Z,-47382.13512029921,4842.6273970540005,44290.13208777126
age18-49,2022-01-03T00:00:00Z,-30624.633487033654,29005.13558487243,81056.80030763255
age18-49,2022-01-04T00:00:00Z,-10599.526647153045,41230.73838569951,82786.12073329774
age18-49,2022-01-05T00:00:00Z,-2028.3097457594522,40458.02694584719,80485.1612705363
age18-49,2022-01-06T00:00:00Z,1245.621789572413,42437.14555699531,86183.54967231164
age18-49,2022-01-07T00:00:00Z,9654.00803665362,52256.298732216426,88481.32596684
age18-49,2022-01-08T00:00:00Z,-36262.95983501882,27492.311952390508,71754.04422210166
age18-49,2022-01-09T00:00:00Z,-64733.51968022636,-5567.501323720284,50464.22384394934
age18-49,2022-01-10T00:00:00Z,-23017.82809355086,26628.424585385834,84647.87315460517
age18-49,2022-01-11T00:00:00Z,-9096.812985127715,39648.27763696049,93904.16707390097
age18-49,2022-01-12T00:00:00Z,-11570.902606168624,44448.162592974884,89591.7190044401
age18-49,2022-01-13T00:00:00Z,-15984.09653433276,44153.23139540243,102634.59422094873
age18-49,2022-01-14T00:00:00Z,-6964.488830729912,54990.32809601303,99398.2743888819
age18-49,2022-01-15T00:00:00Z,-19908.467730541743,28511.562694213437,77072.21211402038
age18-49,2022-01-16T00:00:00Z,-56542.730391116864,7908.529292124194,47052.713611583924
age18-49,2022-01-17T00:00:00Z,-23227.719298678967,24204.0349896262,69963.37262026609
age18-49,2022-01-18T00:00:00Z,-3543.7795313720235,38172.90838158758,87739.28026423062
